Modelos,Puntuación,Aciertos,Frecuencia relativa de fallos
GPT-4o,28.5/30,29/30,"Morfosintaxis: 5%, Léxico: 0%"
GPT-4o-mini,27.4/30,28/30,"Morfosintaxis: 5%, Léxico: 10%"
Gemma-2-9b-it,23.3/30,25/30,"Morfosintaxis: 20%, Léxico: 10%"
Mistral-7b,22.2/30,24/30,"Morfosintaxis: 15%, Léxico: 30%"
Llama-3.2-11B-Vision-Instruct,19.4/30,22/30,"Morfosintaxis: 20%, Léxico: 40%"
Occiglot-7b-es-en-instruct,18.8/30,22/30,"Morfosintaxis: 25%, Léxico: 30%"
Llama-3.1-8B-Instruct,15.5/30,19/30,"Morfosintaxis: 25%, Léxico: 50%"
Llama-3.2-3B-Instruct,14.4/30,18/30,"Morfosintaxis: 20%, Léxico: 80%"
Yi-1.5-9B-Chat,12.5/30,17/30,"Morfosintaxis: 40%, Léxico: 50%" 
