Modelos,Puntuación,Aciertos,Frecuencia relativa de fallos
GPT-4o,17.5/30,21/30,"Morfosintaxis: 30%, Léxico: 30%"
GPT-4o-mini,17.4/30,21/30,"Morfosintaxis: 25%, Léxico: 40%"
Gemma-2-9b-it,9.1/30,15/30,"Morfosintaxis: 50%, Léxico: 50%"
Mistral-7b,6.5/30,13/30,"Morfosintaxis: 45%, Léxico: 70%"
Llama-3.2-11B-Vision-Instruct,8.8/30,15/30,"Morfosintaxis: 45%, Léxico: 50%"
Occiglot-7b-es-en-instruct,4.7/30,12/30,"Morfosintaxis: 60%, Léxico: 60%"
Llama-3.1-8B-Instruct,5.9/30,13/30,"Morfosintaxis: 55%, Léxico: 60%"
Llama-3.2-3B-Instruct,6.5/30,13/30,"Morfosintaxis: 45%, Léxico: 80%"
Yi-1.5-9B-Chat,0.9/30,10/30,"Morfosintaxis: 55%, Léxico: 90%" 
