Modelos,Puntuación,Aciertos,Frecuencia relativa de fallos
GPT-4o,19.3/30,22/30,"Morfosintaxis: 25%, Léxico: 30%"
GPT-4o-mini,13.2/30,18/30,"Morfosintaxis: 45%, Léxico: 30%"
Gemma-2-9b-it,13.5/30,18/30,"Morfosintaxis: 40%, Léxico: 40%"
Mistral-7b,8/30,16/30,"Morfosintaxis: 45%, Léxico: 50%"
Llama-3.2-11B-Vision-Instruct,6.5/30,14/30,"Morfosintaxis: 50%, Léxico: 60%"
Occiglot-7b-es-en-instruct,7.9/30,14/30,"Morfosintaxis: 45%, Léxico: 70%"
Llama-3.1-8B-Instruct,4.7/30,13/30,"Morfosintaxis: 55%, Léxico: 60%"
Llama-3.2-3B-Instruct,10.3/30,12/30,"Morfosintaxis: 55%, Léxico: 70%"
Yi-1.5-9B-Chat,5.4/30,12/30,"Morfosintaxis: 50%, Léxico: 80%" 
