Modelos,Puntuación,Aciertos,Frecuencia relativa de fallos
GPT-4o,18.2/30,21/30,"Morfosintaxis: 30%, Léxico: 30%"
GPT-4o-mini,13.9/30,18/30,"Morfosintaxis: 40%, Léxico: 40%"
Gemma-2-9b-it,8.3/30,14/30,"Morfosintaxis: 55%, Léxico: 50%"
Mistral-7b,4.5/30,11/30,"Morfosintaxis: 65%, Léxico: 80%"
Llama-3.2-11B-Vision-Instruct,2.6/30,10/30,"Morfosintaxis: 45%, Léxico: 70%"
Occiglot-7b-es-en-instruct,8.2/30,14/30,"Morfosintaxis: 45%, Léxico: 70%"
Llama-3.1-8B-Instruct,5.3/30,12/30,"Morfosintaxis: 55%, Léxico: 70%"
Llama-3.2-3B-Instruct,12.35/30,10/30,"Morfosintaxis: 65%, Léxico: 70%"
Yi-1.5-9B-Chat,5.3/30,12/30,"Morfosintaxis: 55%, Léxico: 50%" 
