Modelos,Puntuación,Aciertos,Frecuencia relativa de fallos
GPT-4o,17.6/30,21/30,"Morfosintaxis: 30%, Léxico: 30%"
GPT-4o-mini,7.1/30,14/30,"Morfosintaxis: 55%, Léxico: 50%"
Gemma-2-9b-it,5.2/30,12/30,"Morfosintaxis: 45%, Léxico: 70%"
Mistral-7b,5.4/30,12/30,"Morfosintaxis: 40%, Léxico: 100%"
Llama-3.2-11B-Vision-Instruct,5.7/30,12/30,"Morfosintaxis: 50%, Léxico: 80%"
Occiglot-7b-es-en-instruct,8.7/30,14/30,"Morfosintaxis: 35%, Léxico: 90%"
Llama-3.1-8B-Instruct,5.9/30,12/30,"Morfosintaxis: 50%, Léxico: 80%"
Llama-3.2-3B-Instruct,10.2/30,12/30,"Morfosintaxis: 50%, Léxico: 80%"
Yi-1.5-9B-Chat,8/30,14/30,"Morfosintaxis: 40%, Léxico: 80%" 
