Modelos,Puntuación,Aciertos,Frecuencia relativa de fallos
GPT-4o,27.1/30,28/30,"Morfosintaxis: 10%, Léxico: 0%"
GPT-4o-mini,21.4/30,24/30,"Morfosintaxis: 25%, Léxico: 10%"
Gemma-2-9b-it,16.7/30,20/30,"Morfosintaxis: 25%, Léxico: 50%"
Mistral-7b,2.5/30,10/30,"Morfosintaxis: 60%, Léxico: 80%"
Llama-3.2-11B-Vision-Instruct,8.1/30,10/30,"Morfosintaxis: 65%, Léxico: 70%"
Occiglot-7b-es-en-instruct,2.9/30,10/30,"Morfosintaxis: 55%, Léxico: 90%"
Llama-3.1-8B-Instruct,9.6/30,15/30,"Morfosintaxis: 30%, Léxico: 90%"
Llama-3.2-3B-Instruct,12/30,14/30,"Morfosintaxis: 35%, Léxico: 90%"
Yi-1.5-9B-Chat,5.4/30,12/30,"Morfosintaxis: 60%, Léxico: 60%" 
